user_id,yt_id,views,category
595,626,16,Fashion
333,631,14,Travel
304,14,15,Technology
862,510,10,Travel
358,983,12,Technology
101,665,10,Food
85,394,14,Travel
162,820,7,Fashion
390,664,1,Travel
887,350,10,Technology
545,744,18,Technology
250,267,11,Technology
745,431,1,Fashion
768,375,8,Travel
809,748,20,Food
49,402,11,Food
670,412,12,Sports
395,585,1,Travel
243,48,16,Travel
176,365,4,Food
965,333,17,Sports
152,558,3,Travel
959,133,13,Technology
375,927,15,Fashion
364,244,12,Food
59,168,1,Fashion
325,855,12,Travel
122,385,14,Fashion
383,650,12,Fashion
645,231,18,Food
376,446,16,Technology
133,280,3,Sports
639,754,2,Travel
605,205,16,Travel
473,974,7,Technology
720,239,15,Sports
378,239,11,Technology
826,478,2,Sports
46,170,10,Sports
166,943,10,Food
644,135,8,Sports
316,819,17,Travel
611,321,8,Sports
905,99,19,Fashion
502,490,7,Travel
407,266,2,Fashion
558,984,1,Sports
794,318,3,Fashion
613,156,8,Fashion
211,112,16,Food
645,811,11,Travel
495,908,9,Travel
883,201,2,Food
714,75,19,Fashion
636,817,12,Food
217,355,6,Food
354,282,10,Fashion
705,49,8,Sports
118,206,13,Fashion
14,438,6,Food
188,542,17,Fashion
748,441,8,Food
423,251,1,Food
738,107,10,Sports
273,6,9,Food
851,314,3,Travel
260,919,10,Travel
637,329,9,Fashion
736,807,2,Sports
175,611,20,Food
591,608,15,Travel
476,172,14,Sports
816,507,2,Technology
56,979,18,Travel
442,894,19,Sports
631,357,6,Sports
580,962,17,Technology
958,500,8,Sports
463,730,16,Travel
881,709,11,Sports
792,792,1,Technology
862,572,16,Technology
494,313,15,Technology
17,76,4,Food
462,358,4,Food
802,641,13,Technology
512,571,16,Travel
446,215,8,Fashion
2,31,9,Food
905,142,1,Sports
418,764,8,Food
75,288,15,Sports
392,958,6,Sports
732,923,1,Food
29,48,5,Sports
497,236,12,Travel
499,331,5,Fashion
242,507,11,Fashion
291,999,20,Technology
615,780,18,Sports
502,554,17,Fashion
605,715,16,Fashion
595,38,4,Fashion
385,683,10,Travel
535,370,19,Fashion
929,880,7,Technology
13,672,1,Travel
559,692,8,Technology
377,467,13,Fashion
944,467,15,Sports
111,13,15,Food
112,98,5,Fashion
915,700,18,Sports
198,389,5,Travel
84,84,4,Sports
155,395,2,Food
70,157,14,Sports
720,337,3,Food
710,269,4,Travel
706,136,7,Food
68,633,14,Travel
319,19,15,Travel
543,944,16,Sports
413,270,10,Travel
64,509,5,Food
68,522,14,Travel
899,457,6,Technology
451,971,5,Technology
780,636,2,Fashion
67,471,1,Sports
23,6,6,Sports
227,88,18,Food
118,73,12,Technology
753,149,8,Sports
566,807,20,Fashion
732,378,5,Sports
21,52,14,Food
40,375,13,Fashion
430,439,19,Fashion
854,346,9,Travel
123,418,3,Sports
636,806,5,Food
48,166,1,Sports
998,71,11,Sports
567,995,3,Fashion
728,976,19,Technology
428,904,15,Fashion
637,241,18,Fashion
443,472,13,Travel
659,323,5,Fashion
184,71,8,Food
191,231,10,Food
801,594,18,Travel
633,814,17,Food
42,112,4,Technology
8,232,2,Travel
612,497,2,Sports
994,179,20,Food
434,420,11,Fashion
662,522,12,Technology
54,487,14,Food
893,76,19,Technology
166,2,13,Food
95,988,5,Food
613,25,3,Fashion
163,89,13,Fashion
756,665,2,Fashion
95,179,16,Fashion
262,365,16,Food
896,481,12,Travel
923,487,20,Travel
73,311,15,Food
879,928,11,Fashion
850,819,5,Food
118,710,15,Technology
616,55,19,Technology
985,511,17,Technology
53,596,3,Fashion
226,214,18,Travel
860,664,17,Food
518,962,16,Technology
118,263,4,Food
423,920,7,Fashion
375,808,18,Travel
156,193,20,Travel
643,235,2,Fashion
333,355,4,Sports
572,108,19,Travel
268,866,19,Sports
789,408,8,Technology
731,184,3,Sports
78,284,9,Food
100,291,14,Fashion
114,730,9,Technology
667,571,1,Fashion
544,774,7,Technology
172,774,12,Fashion
390,397,15,Food
597,882,1,Technology
789,713,19,Technology
910,928,2,Travel
41,566,12,Travel
246,261,14,Technology
87,426,7,Travel
530,207,20,Technology
146,791,4,Food
983,181,14,Travel
31,650,17,Food
62,419,4,Technology
202,869,8,Travel
701,25,20,Travel
474,877,4,Technology
423,701,7,Fashion
481,629,13,Technology
591,328,18,Food
342,714,6,Travel
555,224,13,Food
687,464,1,Food
587,448,20,Travel
468,820,6,Sports
751,77,7,Fashion
820,214,11,Technology
729,990,17,Fashion
912,928,11,Travel
999,45,2,Travel
553,276,13,Sports
816,929,2,Travel
768,499,14,Sports
863,764,8,Fashion
307,324,1,Technology
855,896,17,Food
364,668,19,Food
299,182,1,Sports
574,424,10,Food
878,830,18,Food
673,141,2,Technology
805,652,15,Travel
31,289,4,Travel
331,861,16,Fashion
904,909,12,Travel
737,280,3,Sports
533,44,11,Technology
125,749,4,Sports
499,141,16,Sports
423,282,19,Technology
523,59,12,Technology
357,47,16,Technology
917,660,6,Sports
987,970,7,Travel
823,62,13,Fashion
376,167,17,Food
349,782,15,Food
756,646,20,Travel
960,282,7,Sports
836,218,15,Fashion
44,518,18,Food
612,488,7,Sports
889,114,12,Technology
489,239,5,Technology
238,969,13,Fashion
695,44,9,Fashion
157,742,15,Sports
429,429,10,Fashion
272,617,3,Food
45,795,7,Food
251,53,1,Technology
109,68,19,Food
295,11,14,Fashion
248,793,14,Food
784,993,8,Food
376,844,16,Food
727,559,6,Food
506,110,8,Sports
951,864,13,Fashion
793,491,4,Fashion
597,762,20,Technology
93,711,18,Travel
270,982,11,Travel
131,746,11,Fashion
864,980,7,Food
740,528,19,Sports
535,493,16,Technology
379,956,9,Food
528,777,14,Sports
543,575,8,Fashion
912,165,7,Fashion
842,948,20,Fashion
653,287,8,Fashion
446,265,4,Fashion
150,623,15,Food
780,680,10,Fashion
342,393,12,Fashion
642,214,2,Travel
943,668,12,Sports
496,450,12,Food
145,464,8,Food
936,636,5,Fashion
558,229,6,Food
64,269,12,Fashion
690,677,2,Fashion
364,566,15,Technology
164,669,20,Sports
375,673,7,Technology
543,996,17,Food
420,252,3,Sports
759,915,15,Technology
314,207,13,Sports
191,24,18,Sports
619,94,14,Travel
948,228,3,Sports
801,156,10,Food
78,405,2,Travel
186,463,5,Travel
